NOMREG;NOMDEP;VILLE;NOM DU MUSEE;ADR;CP;ANNREOUV;FERME;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;;;;;;;;;;
cx;wx;qs;za;re;ds;df;NON;ds;ez;ds
cx;wx;BETSCHDORF;Musee de la Poterie;2, rue de Kuhlendorf;67660;;NON;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;11/11,01/12-01/04;
cx;wx;BOUXWILLER;Musee de Bouxwiller et du Pays de Hanau;2, Place du Château Halle aux Bles;67330;2016OUI;OUI;www.musee-pays-hanau.webmuseo.com;11/11,01/12-01/04;
cx;wx;HAGUENAU;Musee Alsacien;1, place Joseph Thierry;67500;;NON;www.ville-haguenau.fr/pages/culture/musee.htm;;
cx;wx;HAGUENAU Cedex;Musee Historique;9, Rue du Marechal Foch B.P. 40261;67504;;NON;www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/;;
cx;wx;MOLSHEIM;Musee de la Chartreuse;4, Cour des Chartreux;67120;;NON;www.chartreuse-molsheim.info;24/12,25/12;
cx;wx;NIEDERBRONN-LES-BAINS;Maison de l'Archeologie des Vosges du Nord;44, Avenue Foch;67110;;NON;www.musee-niederbronn.fr;;
cx;wx;PFAFFENHOFFEN;Musee de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;;NON;www.pfaffenhoffen.org ou http://webmuseo.com/ws/musee-image-populaire/app/report/index.html;;
cx;wx;REICHSHOFFEN;Musee du Fer;9, rue Jeanne d'Arc;67110;;NON;www.lacastine.com;;
cx;wx;SAVERNE;Musee du Château des Rohan;Château des Rohans Place du General de Gaulle;67700;;NON;http://www.louise weiss.org;24/12,25/12;
cx;wx;STRASBOURG;Musee Archeologique;Palais Rohan 2, Place du Château;67000;;NON;www.musees.strasbourg.eu;;
cx;wx;STRASBOURG;Musee des Arts Decoratifs;Palais Rohan 2, Place du Château;67000;;NON;www.musees-strasbourg.eu;;
cx;wx;STRASBOURG;Musee des Beaux-Arts;Palais Rohan 2, Place du Château;67000;;NON;www.musees.strasbourg.eu;24/12,25/12,11/11;
cx;wx;STRASBOURG;Musee Historique;3, Place de la Grande-Boucherie;67000;2016NON;NON;www.musees-strasbourg.eu;24/12,25/12;
cx;wx;STRASBOURG;Musee Zoologique de l'Universite Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;;NON;www.musees.strasbourg.eu;;
cx;wx;STRASBOURG;Musee Tomi Ungerer;Villa Greiner 2, avenue de la Marseillaise;67000;;NON;www.musees-strasbourg.eu;24/12,25/12,11/11;
cx;wx;STRASBOURG;Musee Alsacien;23-25, Quai Saint-Nicolas;67000;;NON;www.musees-strasbourg.eu;01/01,01/04,25/12;
cx;wx;STRASBOURG;Musee de l'Œuvre Notre-Dame;3, Place du Château;67000;;NON;www.musees-strasbourg.eu;;
cx;wx;STRASBOURG;Cabinet des Estampes et des Dessins;5, Place du Château;67000;;NON;www.musees-strasbourg.eu;;
cx;wx;STRASBOURG;Musee d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;;NON;www.musees-strasbourg.eu;01/11-01/04;
cx;wx;WALDERSBACH;Musee J.F. Oberlin;25, Montee Oberlin;67130;;NON;www.musee-oberlin.com;;
cx;wx;WINGEN-SUR-MODER;Musee Lalique;40 rue du Hochberg;67290;;NON;www.musee-lalique.com;;
cx;wx;WISSEMBOURG;Musee Westercamp;3, rue du Musee;67160;2013OUI;OUI;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;01/11-01/04;
cx;wx;WOERTH;Musee de la Bataille du 6 Aout 1870;2, Rue du Moulin;67360;;NON;www.musee-woerth.webmuseo.com;;
cx;HAUT-RHIN;ALTKIRCH;Musee Sundgauvien d'Altkirch;1, Rue de l'HOtel de Ville;68130;;NON;;;
cx;HAUT-RHIN;BIESHEIM;Musee Gallo-Romain;Place de la Mairie;68600;;NON;www.ville-biesheim.fr/museegr.html;24/12,25/12,11/11;
cx;HAUT-RHIN;CERNAY;Musee de la Porte de Thann;1, Rue de Thann;68700;;NON;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org;24/12,25/12,11/11;
cx;HAUT-RHIN;COLMAR;Musee d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;;NON;www.ac-strasbourg.fr/microsites/MHN_COLMAR;;
cx;HAUT-RHIN;COLMAR;Musee d'Unterlinden;1, rue Unterlinden;68000;;NON;www.musee-unterlinden.com;;
cx;HAUT-RHIN;COLMAR;Musee Bartholdi;30, Rue des Marchands;68000;;NON;www.musee-bartholdi.com;11/11,01/12-01/04;
cx;HAUT-RHIN;GUEBWILLER;Musee Theodore Deck et des Pays du Florival;1, Rue du Quatre Fevrier;68500;;NON;site de la ville ou www.tourisme68.asso.fr/musees/fr/mus12.1.html;;
cx;HAUT-RHIN;HUNINGE;Musee Historique et Militaire de Huningue;6, rue des Boulangers;68330;;NON;;;
cx;HAUT-RHIN;KAYSERSBERG;Musee d'Histoire Local;64, avenue du General de Gaulle;68240;;NON;www.ville-kaysersberg.fr;24/12,25/12;
cx;HAUT-RHIN;KIENTZHEIM;Musee du Vignoble et des Vins d'Alsace;Château de la Confrerie St-Etienne;68240;;NON;www.musee-du-vignoble-alsace.fr;01/11-01/04;
cx;HAUT-RHIN;MULHOUSE;Musee des Beaux-Arts;4, Place Guillaume-Tell;68100;;NON;http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html;24/12,25/12;
cx;HAUT-RHIN;MULHOUSE;Musee Historique;4, Rue des Archives;68100;;NON;www.musees-mulhouse.fr/musee-historique/collections.html;;
cx;HAUT-RHIN;MULHOUSE;Musee du Sapeur Pompier;Association des Amis du Musee 4, Boulevard de la Marseillaise;68100;2017OUI;OUI;http://musee.spmulhouse.free.fr;24/12,25/12;
cx;HAUT-RHIN;MULHOUSE;Cite du Train;2, rue Alfred de Glehn;68200;;NON;www.culturespaces.com;01/01,01/04,25/12;
cx;HAUT-RHIN;MULHOUSE Cedex;Musee Mineralogique de la Societe Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;;OUI;;01/11-01/04;
cx;HAUT-RHIN;MULHOUSE Cedex;Musee EDF Electropolis;55, rue du Pâturage B.P. 52463;68057;;NON;www.edf.electropolis.mulhouse.museum;;
cx;HAUT-RHIN;MULHOUSE Cedex;Musee National de l'Automobile - Collection Schlumpf;192, Avenue de Colmar CS 91096;68051;;NON;www.collection-schlumpf.com;;
cx;HAUT-RHIN;MULHOUSE CEDEX;Musee de l'Impression sur Etoffes;14, rue Jean-Jacques Henner B.P. 1468;68072;;NON;www.musee-impression.com;01/01,01/04,25/12;
cx;HAUT-RHIN;NEUF-BRISACH;Musee Vauban;7, Place de la Porte de Belfort;68600;;NON;www.neuf-brisach.fr;24/12,25/12,11/11;
cx;HAUT-RHIN;OLTINGUE;Maison du Sundgau - Musee Paysan;10, rue Principale;68480;;NON;;24/12,25/12;
cx;HAUT-RHIN;RIQUEWIHR;Musee du Dolder;Rue du General de Gaulle;68340;;NON;Site des musees d'Alsace;24/12,25/12,11/11;
cx;HAUT-RHIN;RIXHEIM Cedex;Musee du Papier Peint;La Commanderie  28, rue Zuber B.P. 41;68171;;NON;www.museepapierpeint.org;;
cx;HAUT-RHIN;THANN;Musee des Amis de Thann;24, Rue Saint Thiebaut;68800;;NON;www.ville-thann.fr - http://www.genealogiethaznn.org;11/11,01/12-01/04;
cx;HAUT-RHIN;UNGERSHEIM;Ecomusee d'Alsace;B.P. 71;68190;;NON;www.ecomusee-alsace.com;;
AQUITAINE;DORDOGNE;BERGERAC;Musee d'Anthropologie du Tabac d'Interêt National;Maison Peyrarede Place du Feu;24100;;NON;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;;
AQUITAINE;DORDOGNE;BOURDEILLES;Château de Bourdeilles;Bourdeilles;24310;;NON;Site des musees aquitains;;
AQUITAINE;DORDOGNE;BRANTOME;Musee Fernand Desmoulin;Boulevard Charlemagne;24310;;NON;Site des musees aquitains ou http://www.perigord-dronne-belle.fr;24/12,25/12;
AQUITAINE;DORDOGNE;CREYSSE;Musee-Aquarium;Site Bella-Riva;24100;;OUI;;11/11,01/12-01/04;
AQUITAINE;DORDOGNE;DOMME;Musee Paul Reclus;Place de la Halle;24250;;NON;;24/12,25/12,11/11;
AQUITAINE;DORDOGNE;LES EYZIES-DE-TAYAC;Musee National de la Prehistoire;B.P. 7;24620;;NON;www.musee-prehistoire-eyzies.fr;;
AQUITAINE;DORDOGNE;MONTIGNAC;Musee Eugene Le Roy et des Vieux Metiers;Place Bertran de Borne;24290;;OUI;;01/11-01/04;
AQUITAINE;DORDOGNE;MUSSIDAN;Musee des Arts et Traditions Populaires du Perigord;2, Rue Raoul Grassin;24400;;NON;www.museevoulgre.cjb.net;;
AQUITAINE;DORDOGNE;NONTRON;Musee Departemental de la Poupee et du Jouet;Avenue du General Leclerc;24300;;OUI;Site des musees aquitains;11/11,01/12-01/04;
AQUITAINE;DORDOGNE;PERIGUEUX;Musee Militaire - Souvenir du Perigord;32, Rue des Farges;24000;;NON;;11/11,01/12-01/04;
AQUITAINE;DORDOGNE;PERIGUEUX;Musee d'Art et d'Archeologie du Perigord (MAAP);22, Cours Tourny;24000;;NON;http://www.perigueux-maap.fr/;;
AQUITAINE;DORDOGNE;PERIGUEUX;Musee Gallo-Romain de Vesunna;Parc de Vesone 20, Rue du 26eme Regiment d'Infanterie;24000;;NON;www.vesunna.fr ou http://www.perigueux-vesunna.fr/;11/11,01/12-01/04;
AQUITAINE;DORDOGNE;SAINT-AVIT-SENIEUR;Musee du Site Medieval;;24440;;NON;;;
AQUITAINE;DORDOGNE;SARLAT-LA-CANEDA;Musee de Sarlat et du Perigord Noir;B.P. 163;24205;;OUI;Site des musees aquitains;24/12,25/12,11/11;
AQUITAINE;DORDOGNE;VILLEFRANCHE-DE-LONCHAT;Musee d'Art et Traditions Populaires;HOtel de ville Place de la liberte;24610;2016OUI;OUI;Site des musees aquitains;;
AQUITAINE;GIRONDE;BLASIMON;Musee Municipal de Blasimon;Mairie de Blasimon;33540;;OUI;;;
AQUITAINE;GIRONDE;BLAYE;Musee d'Art et d'Histoire du Pays Blayais;Citadelle de Blaye;33390;;OUI;Site des musees aquitains;;
AQUITAINE;GIRONDE;BORDEAUX;Musee Goupil;Conservatoire de l'Image Industrielle 20 Cours Pasteur;33000;;NON;Site de la ville;11/11,01/12-01/04;
AQUITAINE;GIRONDE;BORDEAUX;Centre National Jean Moulin;Direction des etablissements culturels 48, rue Vital Carles;33000;;NON;Site de la ville : www.bordeaux.fr;;
AQUITAINE;GIRONDE;BORDEAUX;Museum d'Histoire Naturelle de Bordeaux;5, Place Bardineau;33000;2016OUI;OUI;www.mairie-bordeaux.fr;;
AQUITAINE;GIRONDE;BORDEAUX;CAPC Musee d'Art Contemporain de Bordeaux;EntrepOt 7, Rue Ferrere;33000;;NON;www.capc-bordeaux.fr ou www.bordeaux.fr;24/12,25/12;
AQUITAINE;GIRONDE;BORDEAUX;Musee des Beaux-Arts;20, Cours D'Albret;33000;;NON;Site de la ville;01/11-01/04;
AQUITAINE;GIRONDE;BORDEAUX;Musee d'Aquitaine;20, Cours Pasteur;33000;;NON;Site de la ville : www.bordeaux.fr;01/01,01/04,25/12;
AQUITAINE;GIRONDE;BORDEAUX;Musee des Arts Decoratifs;HOtel de Lalande 39, Rue Bouffard;33000;;NON;Site de la ville -  www.mairie-bordeaux.fr;01/01,01/04,25/12;
AQUITAINE;GIRONDE;BOURG-SUR-GIRONDE;Musee de la Voiture a Cheval;3, Place de la Citadelle;33710;;NON;Site des musees d'aquitaine;11/11,01/12-01/04;
AQUITAINE;GIRONDE;LA REOLE;Musee Municipal;Esplanade Charles de Gaulle;33190;;OUI;;;
