NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
ALSACE;BAS-RHIN;NON;;Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;www.barr.fr;;10-12,14-18
ALSACE;BAS-RHIN;NON;;Musée de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;11/11,01/12-01/04;sept-18
ALSACE;BAS-RHIN;OUI;2016;Musée de Bouxwiller et du Pays de Hanau;2, Place du Château Halle aux Blés;67330;BOUXWILLER;www.musee-pays-hanau.webmuseo.com;11/11,01/12-01/04;9-12,14-17
ALSACE;BAS-RHIN;NON;;Musée Alsacien;1, place Joseph Thierry;67500;HAGUENAU;www.ville-haguenau.fr/pages/culture/musee.htm;;10-12:30,13:30-18
ALSACE;BAS-RHIN;NON;;Musée Historique;9, Rue du Maréchal Foch B.P. 40261;67504;HAGUENAU Cedex;www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/;;10-12,14-18
ALSACE;BAS-RHIN;NON;;Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;www.chartreuse-molsheim.info;24/12,25/12;13-18
ALSACE;BAS-RHIN;NON;;Maison de l'Archéologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;www.musee-niederbronn.fr;;
ALSACE;BAS-RHIN;NON;;Musée de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;www.pfaffenhoffen.org ou http://webmuseo.com/ws/musee-image-populaire/app/report/index.html;;10-12:30,13:30-18
ALSACE;BAS-RHIN;NON;;Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;www.lacastine.com;;9-12,14-17
ALSACE;BAS-RHIN;NON;;Musée du Château des Rohan;Château des Rohans Place du Général de Gaulle;67700;SAVERNE;http://www.louise weiss.org;24/12,25/12;
ALSACE;BAS-RHIN;NON;;Musée Archéologique;Palais Rohan 2, Place du Château;67000;STRASBOURG;www.musees.strasbourg.eu;;13-18
ALSACE;BAS-RHIN;NON;;Musée des Arts Décoratifs;Palais Rohan 2, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;;sept-18
ALSACE;BAS-RHIN;NON;;Musée des Beaux-Arts;Palais Rohan 2, Place du Château;67000;STRASBOURG;www.musees.strasbourg.eu;24/12,25/12,11/11;sept-18
ALSACE;BAS-RHIN;NON;2016;Musée Historique;3, Place de la Grande-Boucherie;67000;STRASBOURG;www.musees-strasbourg.eu;24/12,25/12;sept-18
ALSACE;BAS-RHIN;NON;;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;www.musees.strasbourg.eu;;10-12:30,13:30-18
ALSACE;BAS-RHIN;NON;;Musée Tomi Ungerer;Villa Greiner 2, avenue de la Marseillaise;67000;STRASBOURG;www.musees-strasbourg.eu;24/12,25/12,11/11;sept-18
ALSACE;BAS-RHIN;NON;;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;www.musees-strasbourg.eu;01/01,01/04,25/12;sept-18
ALSACE;BAS-RHIN;NON;;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;;13-18
ALSACE;BAS-RHIN;NON;;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;;sept-18
ALSACE;BAS-RHIN;NON;;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;www.musees-strasbourg.eu;01/11-01/04;10-12,14-18
ALSACE;BAS-RHIN;NON;;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;www.musee-oberlin.com;;10-12,14-18
ALSACE;BAS-RHIN;NON;;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;www.musee-lalique.com;;
ALSACE;BAS-RHIN;OUI;2013;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;01/11-01/04;sept-18
ALSACE;BAS-RHIN;NON;;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;www.musee-woerth.webmuseo.com;;13-18
ALSACE;HAUT-RHIN;NON;;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;;;10-12:30,13:30-18
ALSACE;HAUT-RHIN;NON;;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;www.ville-biesheim.fr/museegr.html;24/12,25/12,11/11;10-12,14-18
ALSACE;HAUT-RHIN;NON;;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org;24/12,25/12,11/11;9-12,14-17
ALSACE;HAUT-RHIN;NON;;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;www.ac-strasbourg.fr/microsites/MHN_COLMAR;;13-18
ALSACE;HAUT-RHIN;NON;;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;www.musee-unterlinden.com;;
ALSACE;HAUT-RHIN;NON;;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;www.musee-bartholdi.com;11/11,01/12-01/04;sept-18
ALSACE;HAUT-RHIN;NON;;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;site de la ville ou www.tourisme68.asso.fr/musees/fr/mus12.1.html;;
ALSACE;HAUT-RHIN;NON;;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;;;9-12,14-17
ALSACE;HAUT-RHIN;NON;;Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;www.ville-kaysersberg.fr;24/12,25/12;9-12,14-17
ALSACE;HAUT-RHIN;NON;;Musée du Vignoble et des Vins d'Alsace;Château de la Confrérie St-Etienne;68240;KIENTZHEIM;www.musee-du-vignoble-alsace.fr;01/11-01/04;
ALSACE;HAUT-RHIN;NON;;Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html;24/12,25/12;10-12,14-18
ALSACE;HAUT-RHIN;NON;;Musée Historique;4, Rue des Archives;68100;MULHOUSE;www.musees-mulhouse.fr/musee-historique/collections.html;;13-18
ALSACE;HAUT-RHIN;OUI;2017;Musée du Sapeur Pompier;Association des Amis du Musée 4, Boulevard de la Marseillaise;68100;MULHOUSE;http://musee.spmulhouse.free.fr;24/12,25/12;10-12,14-18
ALSACE;HAUT-RHIN;NON;;Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;www.culturespaces.com;01/01,01/04,25/12;13-18
ALSACE;HAUT-RHIN;OUI;;Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;;01/11-01/04;9-12,14-17
ALSACE;HAUT-RHIN;NON;;Musée EDF Electropolis;55, rue du Pâturage B.P. 52463;68057;MULHOUSE Cedex;www.edf.electropolis.mulhouse.museum;;sept-18
ALSACE;HAUT-RHIN;NON;;Musée National de l'Automobile - Collection Schlumpf;192, Avenue de Colmar CS 91096;68051;MULHOUSE Cedex;www.collection-schlumpf.com;;10-12:30,13:30-18
ALSACE;HAUT-RHIN;NON;;Musée de l'Impression sur Etoffes;14, rue Jean-Jacques Henner B.P. 1468;68072;MULHOUSE CEDEX;www.musee-impression.com;01/01,01/04,25/12;10-12,14-18
ALSACE;HAUT-RHIN;NON;;Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;www.neuf-brisach.fr;24/12,25/12,11/11;
ALSACE;HAUT-RHIN;NON;;Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;;24/12,25/12;
ALSACE;HAUT-RHIN;NON;;Musée du Dolder;Rue du Général de Gaulle;68340;RIQUEWIHR;Site des musées d'Alsace;24/12,25/12,11/11;
ALSACE;HAUT-RHIN;NON;;Musée du Papier Peint;La Commanderie  28, rue Zuber B.P. 41;68171;RIXHEIM Cedex;www.museepapierpeint.org;;13-18
ALSACE;HAUT-RHIN;NON;;Musée des Amis de Thann;24, Rue Saint Thiébaut;68800;THANN;www.ville-thann.fr - http://www.genealogiethaznn.org;11/11,01/12-01/04;sept-18
